Date,Tournament,Time Control,Round,# of rounds
2023-01-11,Welcome back - Casual Chess,,,
2023-01-18,Viktar Chuprys Memorial,70 mins + 15s,1,5
2023-01-25,Inclement Weather Closure,,,
2023-02-01,Viktar Chuprys Memorial,,2,
2023-02-08,Viktar Chuprys Memorial,,3,
2023-02-15,Viktar Chuprys Memorial,,4,
2023-02-22,Closed due to Inclement Weather,,,
2023-03-01,Viktar Chuprys Memorial,,5,
2023-03-08,March Blitz Tournament,5 mins,1 to 6,6
2023-03-15,Closed for March Break,,,
2023-03-22,Early Spring Tournament,70 mins + 15s,1,5
2023-03-29,Early Spring Tournament,,2,
2023-04-05,Early Spring Tournament,,3,
2023-04-12,Early Spring Tournament,,4,
2023-04-19,Early Spring Tournament,,5,
2023-04-26,Fun Day - Casual Day,,,
2023-05-03,May Showers,70 mins + 15s,1,5
2023-05-10,May Showers,,2,
2023-05-17,May Showers,,3,
2023-05-24,May Showers,,4,
2023-05-31,May Showers,,5,
2023-06-07,June Blitz Tournament,5 minutes,1 to 6,6
2023-06-14,"Semi Annual Mtg, bughouse, casual games",,,
2023-06-21,Simultaneous with GM Razvan and FM Eugene,,,
2023-06-28,Summer Classic,70 mins + 15s,1,5
2023-07-05,Summer Classic,,2,
2023-07-12,Summer Classic,,3,
2023-07-19,Summer Classic,,4,
2023-07-26,Summer Classic,,5,
2023-08-02,August Active,25 min +5 sec,"1,2 ",6
2023-08-09,August Active,,"3,4",
2023-08-16,August Active,,"5,6",
2023-08-23,August Blitz Tournament,5 minutes,1 to 6,6
2023-08-30,Mississauga Chess Club Championship,70 mins + 15s,1,6
2023-09-06,Mississauga Chess Club Championship,,2,
2023-09-13,Mississauga Chess Club Championship,,3,
2023-09-20,Mississauga Chess Club Championship,,4,
2023-09-27,Mississauga Chess Club Championship,,5,
2023-10-04,Mississauga Chess Club Championship,,6,
2023-10-11,October Active,30 minutes,"1,2 ",6
2023-10-18,October Active,,"3,4",
2023-10-25,October Active,,"5,6",
2023-11-01,Fall Classic,70 mins + 15s,1,5
2023-11-08,Fall Classic,,2,
2023-11-15,Fall Classic,,3,
2023-11-22,Fall Classic,,4,
2023-11-29,Fall Classic,,5,
2023-12-06,Christmas Party & Simuls,,,
2023-12-13,Annual General Meeting,,,
2023-12-20,Closed for Christmas,,,
2023-12-27,Closed for Christmas,,,
2024-01-03,Closed for Christmas,,,
