Date,Tournament ,Time Controls,Round,# of Rounds
2024-01-10,Welcome back - Casual Chess,,,
2024-01-17,Viktar Chuprys Memorial,60 min + 30 sec,1,5
2024-01-24,Viktar Chuprys Memorial,,2,
2024-01-31,Viktar Chuprys Memorial,,3,
2024-02-07,Viktar Chuprys Memorial,,4,
2024-02-14,Viktar Chuprys Memorial,,5,
2024-02-21,Opening Theme Tournament,25 min + 5 sec,"1, 2",6
2024-02-28,Opening Theme Tournament,,"3, 4",
2024-03-06,Opening Theme Tournament, ,"5, 6", 
2024-03-13,Early Spring Tournament,60 min + 30 sec,1,5
2024-03-20,Early Spring Tournament,,2,
2024-03-27,Early Spring Tournament, ,3, 
2024-04-03,Early Spring Tournament,,4,
2024-04-10,Early Spring Tournament,,5,
2024-04-17,Rapid Tournament ,15 minutes,"1, 2, 3",6
2024-04-24,Rapid Tournament ,,"4, 5, 6",
2024-05-01,May Showers,60 min + 30 sec,1,5
2024-05-08,May Showers,,2,
2024-05-15,May Showers,,3,
2024-05-22,May Showers,,4,
2024-05-29,May Showers,,5,
2024-06-05,June Blitz Tournament,5 minutes,1 to 6,6
2024-06-12,"Semi Annual Mtg, bughouse, casual games",,,
2024-06-19,Simultaneous with GM Razvan and FM Eugene,,,
2024-06-26,Summer Classic,60 min + 30 sec,1,5
2024-07-03,Summer Classic,,2,
2024-07-10,Summer Classic,,3,
2024-07-17,Summer Classic,,4,
2024-07-24,Summer Classic,,5,
2024-07-31,August Active,25 min +5 sec,"1,2 ",6
2024-08-07,August Active,,"3,4",
2024-08-14,August Active,,"5,6",
2024-08-21,August Blitz Tournament,5 minutes,1 to 6,6
2024-08-28,Mississauga Chess Club Championship,60 min + 30 sec,1,6
2024-09-04,Mississauga Chess Club Championship,,2,
2024-09-11,Mississauga Chess Club Championship,,3,
2024-09-18,Mississauga Chess Club Championship,,4,
2024-09-25,Mississauga Chess Club Championship,,5,
2024-10-02,Mississauga Chess Club Championship,,6,
2024-10-09,October Active,25 min +5 sec,"1,2 ",6
2024-10-16,October Active,,"3,4",
2024-10-23,October Active,,"5,6",
2024-10-30,Fall Classic,60 min + 30 sec,1,5
2024-11-06,Fall Classic,,2,
2024-11-13,Fall Classic,,3,
2024-11-20,Fall Classic,,4,
2024-11-27,Fall Classic,,5,
2024-12-04,Christmas Party & Simuls,,,
2024-12-11,Annual General Meeting,,,
2024-12-18,Closed for Christmas,,,
2024-12-25,Closed for Christmas,,,
2025-01-01,Closed for Christmas,,,
