Date,Tournament ,Time Control,Round,# of Rounds,
2025-01-10,MCC Friday Junior Tournament #9,25 min + 5 sec,1,5,
2025-01-17,MCC Friday Junior Tournament #9, ,2, ,
2025-01-24,MCC Friday Junior Tournament #9,,3,,
2025-01-31,MCC Friday Junior Tournament #9,,4,,
2025-02-07,MCC Friday Junior Tournament #9,,5,,
2025-02-14,Closed - Family Day Long weekend,, ,,
2025-02-21,MCC Friday Junior Tournament #10,25 min + 5 sec,1,6,
2025-02-28,MCC Friday Junior Tournament #10, ,2, , 
2025-03-07,MCC Friday Junior Tournament #10, ,3, , 
2025-03-14,MCC Friday Junior Tournament #10,,4,,
2025-03-21,MCC Friday Junior Tournament #10, ,5,, 
2025-03-28,MCC Friday Junior Tournament #10,,6,,
2025-04-04,MCC Friday Junior Tournament #11,25 min + 5 sec,1,6,
2025-04-11,MCC Friday Junior Tournament #11, ,2, ,
2025-04-18,Closed - Good Friday,, ,,
2025-04-25,MCC Friday Junior Tournament #11, ,3, ,
2025-05-02,Closed - Church Activities,,,,
2025-05-09,MCC Friday Junior Tournament #11,,4,,
2025-05-16,MCC Friday Junior Tournament #11, ,5, ,
2025-05-23,MCC Friday Junior Tournament #11, ,6, ,
2025-05-30,MCC Friday Junior Tournament #12,25 min + 5 sec,1,6,
2025-06-06,MCC Friday Junior Tournament #12, ,2, ,
2025-06-13,MCC Friday Junior Tournament #12, ,3, ,
2025-06-20,MCC Friday Junior Tournament #12,,4,,
2025-06-27,MCC Friday Junior Tournament #12, ,5, ,
2025-07-04,MCC Friday Junior Tournament #12,,6,,
2025-07-11,Closed -  Summer Break, , , , 
2025-07-18,Closed -  Summer Break, , ,,
2025-07-25,MCC July Blitz,5 min,1 to 6,6,
2025-08-01,Closed - Civic Holiday Long weekend,,,,
2025-08-08,MCC Friday Active,10 min + 5 sec,"1, 2",6,
2025-08-15,MCC Friday Active, ,"3, 4",,
2025-08-22,MCC Friday Active, ,"5, 6",,
2025-08-29,Closed - Labor Day Long weekend, ,,,
2025-09-05,"MCC Friday Junior Championship",25 min + 5 sec,1,6,
2025-09-12,"MCC Friday Junior Championship", ,2,,
2025-09-19,"MCC Friday Junior Championship", ,3,,
2025-09-26,"MCC Friday Junior Championship", ,4, , 
2025-10-03,"MCC Friday Junior Championship", ,5, , 
2025-10-10,Closed - Thanksgiving Long weekend,,,,
2025-10-17,"MCC Friday Junior Championship", ,6,,
2025-10-24,MCC Friday Junior Tournament #13,25 min + 5 sec,1,6,
2025-10-31,Closed - Halloween,, ,,
2025-11-07,MCC Friday Junior Tournament #13,,2,,
2025-11-14,MCC Friday Junior Tournament #13,,3,,
2025-11-21,MCC Friday Junior Tournament #13,,4,,
2025-11-28,MCC Friday Junior Tournament #13,,5,,
2025-12-05,MCC Friday Junior Tournament #13,,6,,
2025-12-12,Christmas Party & Simuls,,,,
2025-12-19,Closed -  Winter Break,,,,
2025-12-26,Closed -  Winter Break,,,,
2026-01-02,Closed -  Winter Break,,,,
2026-01-09,Closed -  Winter Break,,,,
