Date,Tournament ,Time Controls,Round,# of Rounds,
2025-01-06,MCC Monday Junior Tournament #17,25 min + 5 sec,1,6,
2025-01-13,MCC Monday Junior Tournament #17, ,2, ,
2025-01-20,MCC Monday Junior Tournament #17,,3, ,
2025-01-27,MCC Monday Junior Tournament #17,,4, ,
2025-02-03,MCC Monday Junior Tournament #17,,5, ,
2025-02-10,MCC Monday Junior Tournament #17,,6, ,
2025-02-17,Closed - Family Day, , , ,
2025-02-24,MCC Monday Junior Tournament #18,25 min + 5 sec,1,6,
2025-03-03,MCC Monday Junior Tournament #18, ,2, , 
2025-03-10,MCC Monday Junior Tournament #18, ,3, ,
2025-03-17,MCC Monday Junior Tournament #18,,4, ,
2025-03-24,MCC Monday Junior Tournament #18, ,5, ,
2025-03-31,MCC Monday Junior Tournament #18,,6, ,
2025-04-07,MCC April Blitz,5 min,1 to 3,6,
2025-04-14,MCC April Blitz,,4 to 6, ,
2025-04-21,Closed - Easter Monday,, , ,
2025-04-28,MCC Monday Active,10 min + 5 sec,"1, 2",6,
2025-05-05,MCC Monday Active,,"3, 4", ,
2025-05-12,MCC Monday Active, ,"5, 6", ,
2025-05-19,Closed -  Victoria Day,, , ,
2025-05-26,MCC Monday Junior Tournament #19,25 min + 5 sec,1,6,
2025-06-02,MCC Monday Junior Tournament #19,,2, ,
2025-06-09,MCC Monday Junior Tournament #19, ,3,,
2025-06-16,MCC Monday Junior Tournament #19,,4, ,
2025-06-23,MCC Monday Junior Tournament #19,,5, ,
2025-06-30,MCC Monday Junior Tournament #19, ,6, ,
2025-07-07,Closed -  Summer Break,,,,
2025-07-14,Closed -  Summer Break, , , , 
2025-07-21,MCC Monday Junior Tournament #20,25 min + 5 sec,1,6,
2025-07-28,MCC Monday Junior Tournament #20, ,2,,
2025-08-04,Closed -  Civic Holiday,, ,,
2025-08-11,MCC Monday Junior Tournament #20,,3,,
2025-08-18,MCC Monday Junior Tournament #20, ,4, ,
2025-08-25,MCC Monday Junior Tournament #20, ,5, ,
2025-09-01,Closed - Labour Day,, , ,
2025-09-08,MCC Monday Junior Tournament #20,,6, ,
2025-09-15,"MCC Monday Junior Championship",25 min + 5 sec,1,6,
2025-09-22,"MCC Monday Junior Championship",,2, ,
2025-09-29,"MCC Monday Junior Championship",,3, ,
2025-10-06,"MCC Monday Junior Championship",,4, , 
2025-10-13,Closed - Thanksgiving Day, , , , 
2025-10-20,"MCC Monday Junior Championship",,5,,
2025-10-27,"MCC Monday Junior Championship",,6, ,
2025-11-03,MCC Monday Junior Tournament #21,25 min + 5 sec,1,5,
2025-11-10,MCC Monday Junior Tournament #21,,2, ,
2025-11-17,MCC Monday Junior Tournament #21,,3, ,
2025-11-24,MCC Monday Junior Tournament #21,,4, ,
2025-12-01,MCC Monday Junior Tournament #21,,5, ,
2025-12-08,Christmas Party & Simuls,,,,
2025-12-15,Closed -  Winter Break,,,,
2025-12-22,Closed -  Winter Break,,,,
2025-12-29,Closed -  Winter Break,,,,
2026-01-05,Closed -  Winter Break,,,,
