Date,Tournament,Time Controls,Round,# of Rounds
1/16/2026,MCC Friday Junior Tournament #14,25 min + 5 sec,1,6
1/23/2026,MCC Friday Junior Tournament #14,,2,
1/30/2026,MCC Friday Junior Tournament #14,,3,
2/6/2026,MCC Friday Junior Tournament #14,,4,
2/13/2026,Closed - Family Day Long Weekend,,,
2/20/2026,MCC Friday Junior Tournament #14,,5,
2/27/2026,MCC Friday Junior Tournament #14,,6,
3/6/2026,MCC Friday Junior Tournament #15,25 min + 5 sec,1,5
3/13/2026,MCC Friday Junior Tournament #15,,2,
3/20/2026,MCC Friday Junior Tournament #15,,3,
3/27/2026,MCC Friday Junior Tournament #15,,4,
4/3/2026,MCC Friday Junior Tournament #15,,5,
4/10/2026,Closed -  Staff Training,,,
4/17/2026,MCC Friday Junior Tournament #16,25 min + 5 sec,1,5
4/24/2026,MCC Friday Junior Tournament #16,,2,
5/1/2026,MCC Friday Junior Tournament #16,,3,
5/8/2026,MCC Friday Junior Tournament #16,,4,
5/15/2026,Closed - Victoria Day Long Weekend,,,
5/22/2026,MCC Friday Junior Tournament #16,,5,
5/29/2026,MCC Friday Junior Tournament #17,25 min + 5 sec,1,5
6/5/2026,Closed - Mississauga Open,,,
6/12/2026,MCC Friday Junior Tournament #17,,2,
6/19/2026,MCC Friday Junior Tournament #17,,3,
6/26/2026,MCC Friday Junior Tournament #17,,4,
7/3/2026,MCC Friday Junior Tournament #17,,5,
7/10/2026,Closed -  Summer Break,,,
7/17/2026,Closed -  Summer Break,,,
7/24/2026,MCC Friday Junior Tournament #18,25 min + 5 sec,1,6
7/31/2026,Closed - Civic Holiday Long Weekend,,,
8/7/2026,MCC Friday Junior Tournament #18,,2,
8/14/2026,MCC Friday Junior Tournament #18,,3,
8/21/2026,MCC Friday Junior Tournament #18,,4,
8/28/2026,MCC Friday Junior Tournament #18,,5,
9/4/2026,MCC Friday Junior Tournament #18,,6,
9/11/2026,MCC Friday Junior Championship,25 min + 5 sec,1,6
9/18/2026,MCC Friday Junior Championship,,2,
9/25/2026,MCC Friday Junior Championship,,3,
10/2/2026,MCC Friday Junior Championship,,4,
10/9/2026,Closed - Thanksgiving Long Weekend,,,
10/16/2026,MCC Friday Junior Championship,,5,
10/23/2026,MCC Friday Junior Championship,,6,
10/30/2026,MCC Friday Junior Tournament #19,25 min + 5 sec,1,6
11/6/2026,MCC Friday Junior Tournament #19,,2,
11/13/2026,MCC Friday Junior Tournament #19,,3,
11/20/2026,MCC Friday Junior Tournament #19,,4,
11/27/2026,MCC Friday Junior Tournament #19,,5,
12/4/2026,MCC Friday Junior Tournament #19,,6,
12/11/2026,Christmas Party & Simuls,,,
12/18/2026,Closed -  Winter Break,,,
12/25/2026,Closed -  Winter Break,,,
1/1/2027,Closed -  Winter Break,,,
1/8/2027,Closed -  Winter Break,,,
