Date,Tournament,Time Controls,Round,# of Rounds
2026-10-08,MCC Thursday Junior Opening Cup,25 min + 5 sec,1,4
2026-10-15,MCC Thursday Junior Opening Cup,,2,
2026-10-22,MCC Thursday Junior Opening Cup,,3,
2026-10-29,MCC Thursday Junior Opening Cup,,4,
2026-11-05,MCC Thursday Junior Tournament #1,25 min + 5 sec,1,5
2026-11-12,MCC Thursday Junior Tournament #1,,2,
2026-11-19,MCC Thursday Junior Tournament #1,,3,
2026-11-26,MCC Thursday Junior Tournament #1,,4,
2026-12-03,MCC Thursday Junior Tournament #1,,5,
2026-12-10,Christmas Party & Simuls,,,
2026-12-17,Closed -  Winter Break,,,
2026-12-24,Closed -  Winter Break,,,
2026-12-31,Closed -  Winter Break,,,
2027-01-07,Closed -  Winter Break,,,
