Date,Tournament ,Time Control,Round,# of rounds
Mississauga Chess Club - Adult Club (Wednesdays),,,,
Tournament Schedule for 2019,,,,
2019/01/09,Welcome back - Casual Chess,,,
2019/01/16,Viktar Chuprys Memorial,70 mins + 15s,1,5
2019/01/23,Viktar Chuprys Memorial,,2,
2019/01/30,Viktar Chuprys Memorial,,3,
2019/02/06,Viktar Chuprys Memorial,,4,
2019/02/13,Closed due to heavy snow,,,
2019/02/20,Viktar Chuprys Memorial,,5,
2019/02/27,Opening Theme Tournament,,"1,2",4
2019/03/06,Opening Theme Tournament,,"3,4",
2019/03/13,Rapid Tournament ,15 minutes,"1,2,3",6
2019/03/20,Rapid Tournament ,,"4,5,6",
2019/03/27,Early Spring Tournament,70 mins + 15s,1,5
2019/04/03,Early Spring Tournament,,2,
2019/04/10,Early Spring Tournament,,3,
2019/04/17,Early Spring Tournament,,4,
2019/04/24,Early Spring Tournament,,5,
2019/05/01,May Showers,70 mins + 15s,1,5
2019/05/08,May Showers,,2,
2019/05/15,May Showers,,3,
2019/05/22,May Showers,,4,
2019/05/29,May Showers,,5,
2019/06/05,June Blitz Tournament,5 minutes,1 to 6,6
2019/06/12,"Semi Annual Mtg, bughouse, casual games",,,
2019/06/19,Simultaneous with GM Razvan and FM Eugene,,,
2019/06/26,Summer Classic,70 mins + 15s,1,5
2019/07/03,Summer Classic,,2,
2019/07/10,Summer Classic,,3,
2019/07/17,Summer Classic,,4,
2019/07/24,Summer Classic,,5,
2019/07/31,Casual Games,,,
2019/08/07,August Active,30 minutes,"1,2 ",6
2019/08/14,August Active,,"3,4",
2019/08/21,August Active,,"5,6",
2019/08/28,Mississauga Club Championship,70 mins + 15s,1,6
2019/09/04,Mississauga Club Championship,,2,
2019/09/11,Mississauga Club Championship,,3,
2019/09/18,Mississauga Club Championship,,4,
2019/09/25,Mississauga Club Championship,,5,
2019/10/02,Mississauga Club Championship,,6,
2019/10/09,October Active,30 minutes,"1,2 ",6
2019/10/16,October Active,,"3,4",
2019/10/23,October Active,,"5,6",
2019/10/30,Fall Classic,70 mins + 15s,1,5
2019/11/06,Fall Classic,,2,
2019/11/13,Fall Classic,,3,
2019/11/20,Fall Classic,,4,
2019/11/27,Fall Classic,,5,
2019/12/04,Christmas Party & Simuls,,,
2019/12/11,Annual General Meeting,,,
2019/12/18,Closed for Christmas,,,
2019/12/25,Closed for Christmas,,,
2020/01/01,Closed for Christmas,,,
