Date,Tournament ,Round
,Mississauga Chess Club - Dunwin (Thursdays),
,Tournament Schedule for 2019,
2019/04/11,MCC Dunwin Tournament #1,1
2019/04/18,MCC Dunwin Tournament #1,2
2019/04/25,MCC Dunwin Tournament #1,3
2019/05/02,MCC Dunwin Tournament #2 & Medals,1
2019/05/09,MCC Dunwin Tournament #2,2
2019/05/16,MCC Dunwin Tournament #2,3
2019/05/23,MCC Dunwin Tournament #2,4
2019/05/30,MCC Dunwin Tournament #2,5
2019/06/06,MCC Dunwin June 2019 & Medals,1
2019/06/13,MCC Dunwin June 2019,2
2019/06/20,MCC Dunwin June 2019,3
2019/06/27,MCC Dunwin June 2019,4
2019/07/04,MCC Dunwin July 2019 & Medals,1
2019/07/11,MCC Dunwin July 2019,2
2019/07/18,MCC Dunwin July 2019,3
2019/07/25,MCC Dunwin July 2019,4
2019/08/01,MCC Dunwin August 2019 & Medals,1
2019/08/08,MCC Dunwin August 2019,2
2019/08/15,MCC Dunwin August 2019,3
2019/08/22,MCC Dunwin August 2019,4
2019/08/29,MCC Dunwin August 2019,5
2019/09/05,MCC Dunwin September 2019 & Medals,1
2019/09/12,MCC Dunwin September 2019,2
2019/09/19,MCC Dunwin September 2019,3
2019/09/26,MCC Dunwin September 2019,4
2019/10/03,MCC Dunwin October & Medals,1
2019/10/10,MCC Dunwin October 2019,2
2019/10/17,MCC Dunwin October 2019,3
2019/10/24,MCC Dunwin October 2019,4
2019/10/31,MCC Dunwin October 2019,5
2019/11/07,MCC Dunwin November 2019 & Medals,1
2019/11/14,MCC Dunwin November 2019,2
2019/11/21,MCC Dunwin November 2019,3
2019/11/28,MCC Dunwin November 2019,4
2019/12/05,x-mas party - Medals & Simuls,
2019/12/12,Closed,
2019/12/19,Closed,
2019/12/26,Closed - Christmas,
2020/01/02,Closed - New Year,
,Start New 2020 Schedule,
