Date,Tournament ,Round
,Mississauga Chess Club - Junior Club (Mondays),
,Tournament Schedule for 2019,
2019/01/07,Closed,
2019/01/14,Tournament #23,1
2019/01/21,Tournament #23,2
2019/01/28,Tournament #23,3
2019/02/04,Cancelled due to snow,
2019/02/11,Tournament #23,4
2019/02/18,Closed for Family Day,
2019/02/25,Tournament #23,5
2019/03/04,Tournament #23,6
2019/03/11,Tournament #24,1
2019/03/18,Tournament #24,2
2019/03/25,Tournament #24,3
2019/04/01,Tournament #24,4
2019/04/08,Tournament #24,5
2019/04/15,Tournament #24,6
2019/04/22,Closed for Easter,
2019/04/29,"Medals, Simuls, Doubles",
2019/05/06,Tournament #25,1
2019/05/13,Tournament #25,2
2019/05/20,Closed for Victoria Day,
2019/05/27,Tournament #25,3
2019/06/03,Tournament #25,4
2019/06/10,Tournament #25,5
2019/06/17,Tournament #25,6
2019/06/24,"Medals, Chess Puzzles, Doubles",
2019/07/01,Closed - Canada Day,
2019/07/08,Tournament #26,1
2019/07/15,Tournament #26,2
2019/07/22,Tournament #26,3
2019/07/29,Tournament #26,4
2019/08/05,Closed - Civic Holiday,
2019/08/12,Tournament #26,5
2019/08/19,Tournament #26,6
2019/08/26,"Medals, Simuls, Doubles",
2019/09/02,Closed - Labour Day,
2019/09/09,Tournament #27,1
2019/09/16,Tournament #27,2
2019/09/23,Tournament #27,3
2019/09/30,Tournament #27,4
2019/10/07,Tournament #27,5
2019/10/14,Closed - Thanksgiving Day,
2019/10/21,Tournament #27,6
2019/10/28,"Medals, Chess Puzzles, Doubles",
2019/11/04,Tournament #28,1
2019/11/11,Tournament #28,2
2019/11/18,Tournament #28,3
2019/11/25,Tournament #28,4
2019/12/02,Tournament #28,5
2019/12/09,Tournament #28,6
2019/12/16,x-mas party - Medals & Simuls,
2019/12/23,Closed - Christmas,
2019/12/30,Closed - Christmas,
2020/01/06,Closed - Christmas,
