Date,Tournament ,Round
,Mississauga Chess Club - Dunwin (Thursdays),
,Tournament Schedule for 2020,
9/01/2020,MCC Dunwin January 2020,1
16/01/2020,MCC Dunwin January 2020,2
23/01/2020,MCC Dunwin January 2020,3
30/01/2020,MCC Dunwin January 2020,4
6/02/2020,MCC Dunwin February 2020 & Medals,1
13/02/2020,MCC Dunwin February 2020,2
20/02/2020,MCC Dunwin February 2020,3
27/02/2020,MCC Dunwin February 2020,4
5/03/2020,MCC Dunwin March 2020 & Medals,1
12/03/2020,MCC Dunwin March 2020,2
19/03/2020,MCC Dunwin March 2020,3
26/03/2020,MCC Dunwin March 2020,4
2/04/2020,MCC Dunwin April 2020 & Medals,1
9/04/2020,MCC Dunwin April 2020,2
16/04/2020,MCC Dunwin April 2020,3
23/04/2020,MCC Dunwin April 2020,4
30/04/2020,MCC Dunwin April 2020,5
7/05/2020,MCC Dunwin May 2020 & Medals,1
14/05/2020,MCC Dunwin May 2020,2
21/05/2020,MCC Dunwin May 2020,2
28/05/2020,MCC Dunwin May 2020,4
4/06/2020,MCC Dunwin June 2020 & Medals,1
11/06/2020,MCC Dunwin June 2020,2
18/06/2020,MCC Dunwin June 2020,3
25/06/2020,MCC Dunwin June 2020,4
2/07/2020,MCC Dunwin July 2020 & Medals,1
9/07/2020,MCC Dunwin July 2020,2
16/07/2020,MCC Dunwin July 2020,3
23/07/2020,MCC Dunwin July 2020,4
30/07/2020,MCC Dunwin July 2020,5
6/08/2020,MCC Dunwin August 2020 & Medals,1
13/08/2020,MCC Dunwin August 2020,2
20/08/2020,MCC Dunwin August 2020,3
27/08/2020,MCC Dunwin August 2020,4
3/09/2020,MCC Dunwin September 2020 & Medals,1
10/09/2020,MCC Dunwin September 2020,2
17/09/2020,MCC Dunwin September 2020,3
24/09/2020,MCC Dunwin September 2020,4
1/10/2020,MCC Dunwin October 2020 & Medals,1
8/10/2020,MCC Dunwin October 2020,2
15/10/2020,MCC Dunwin October 2020,3
22/10/2020,MCC Dunwin October 2020,4
29/10/2020,MCC Dunwin October 2020,5
5/11/2020,MCC Dunwin November 2020 & Medals,1
12/11/2020,MCC Dunwin November 2020,2
19/11/2020,MCC Dunwin November 2020,3
26/11/2020,MCC Dunwin November 2020,4
2/12/2020,MCC Christmas Party at Erindale,
10/12/2020,Closed,
17/12/2020,Closed,
24/12/2020,Closed,
