Date,Tournament ,Time Control,Round,# of rounds
Mississauga Chess Club - Adult Club (Wednesdays),,,,
Tournament Schedule for 2020,,,,
2020/01/08,Welcome back - Casual Chess,,,
2020/01/15,Viktar Chuprys Memorial,70 mins + 15s,1,5
2020/01/22,Viktar Chuprys Memorial,,2,
2020/01/29,Viktar Chuprys Memorial,,3,
2020/02/05,Viktar Chuprys Memorial,,4,
2020/02/12,Viktar Chuprys Memorial,,5,
2020/02/19,Opening Theme Tournament,,"1, 2",4
2020/02/26,Opening Theme Tournament,,"3, 4",
2020/03/04,Rapid Tournament ,15 minutes,"1, 2, 3",6
2020/03/11,Rapid Tournament ,,"4, 5, 6",
2020/03/18,Early Spring Tournament,70 mins + 15s,1,5
2020/03/25,Early Spring Tournament,,2,
2020/04/01,Early Spring Tournament,,3,
2020/04/08,Early Spring Tournament,,4,
2020/04/15,Early Spring Tournament,,6,
2020/04/22,Fun Day - Casual Day,,,
2020/04/29,May Showers,70 mins + 15s,1,5
2020/05/06,May Showers,,2,
2020/05/13,May Showers,,3,
2020/05/20,May Showers,,4,
2020/05/27,May Showers,,5,
2020/06/03,June Blitz Tournament,5 minutes,1 to 6,6
2020/06/10,"Semi Annual Mtg, bughouse, casual games",,,
2020/06/17,Simultaneous with GM Razvan and FM Eugene,,,
2020/06/24,Summer Classic,70 mins + 15s,1,5
2020/07/01,Canada Day,,,
2020/07/08,Summer Classic,,2,
2020/07/15,Summer Classic,,3,
2020/07/22,Summer Classic,,4,
2020/07/29,Summer Classic,,5,
2020/08/05,August Active,25 min +5 sec,"1,2 ",6
2020/08/12,August Active,,"3,4",
2020/08/19,August Active,,"5,6",
2020/08/26,Mississauga Club Championship,70 mins + 15s,1,6
2020/09/02,Mississauga Club Championship,,2,
2020/09/09,Mississauga Club Championship,,3,
2020/09/16,Mississauga Club Championship,,4,
2020/09/23,Mississauga Club Championship,,5,
2020/09/30,Mississauga Club Championship,,6,
2020/10/07,October Active,30 minutes,"1,2 ",6
2020/10/14,October Active,,"3,4",
2020/10/21,October Active,,"5,6",
2020/10/28,Fall Classic,70 mins + 15s,1,5
2020/11/04,Fall Classic,,2,
2020/11/11,Fall Classic,,3,
2020/11/18,Fall Classic,,4,
2020/11/25,Fall Classic,,5,
2020/12/02,Christmas Party & Simuls,,,
2020/12/09,Annual General Meeting,,,
2020/12/16,Closed for Christmas,,,
2020/12/23,Closed for Christmas,,,
2020/12/30,Closed for Christmas,,,
