Date,Tournament ,Round
Mississauga Chess Club - Junior Club (Mondays),,
Tournament Schedule for 2022,,
2022-04-25,Welcome back - Casual games,
2022-05-02,Casual Games,
2022-05-09,2022 Tournament #1,1
2022-05-16,2022 Tournament #1,2
2022-05-23,Closed for Victoria Day,
2022-05-30,2022 Tournament #1,3
2022-06-06,2022 Tournament #1,4
2022-06-13,2022 Tournament #1,5
2022-06-20,"Medals, Chess Puzzles, Doubles",
2022-06-27,2022 Tournament #2,1
2022-07-04,2022 Tournament #2,2
2022-07-11,2022 Tournament #2,3
2022-07-18,2022 Tournament #2,4
2022-07-25,2022 Tournament #2,5
2022-08-01,Closed - Civic Holiday,
2022-08-08,2022 Tournament #3,1
2022-08-15,2022 Tournament #3,2
2022-08-22,2022 Tournament #3,3
2022-08-29,2022 Tournament #3,4
2022-09-05,Closed - Labour Day,
2022-09-12,2022 Tournament #3,5
2022-09-19,Simul with NM Denton & Medals,
2022-09-26,2022 Tournament #4,1
2022-10-03,2022 Tournament #4,2
2022-10-10,Closed - Thanksgiving Day,
2022-10-17,2022 Tournament #4,3
2022-10-24,2022 Tournament #4,4
2022-10-31,Closed - Halloween,
2022-11-07,2022 Tournament #4 & Medals,5
2022-11-14,2022 Tournament #5,1
2022-11-21,2022 Tournament #5,2
2022-11-28,2022 Tournament #5,3
2022-12-05,2022 Tournament #5,4
2022-12-12,"X-mas Party, Medals & Games",
2022-12-19,Closed - Christmas,
2022-12-26,Closed - Christmas,
